what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1416404251234
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416404255805
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404259409
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404259830
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1416404264198
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416404266913
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404268052
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404268396
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1416404270424
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416404272811
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404274558
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404274714
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1416404276898
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416404279113
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404280798
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404281110
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1416404291250
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416404294370
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404296772
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404296959
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1416404299270
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416404301781
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404303950
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416404304340
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1416404306290
