what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496852739
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1416496852739
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416496853877
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416496857682
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496859007
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496859740
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416496867240
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1416496887605
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416496890365
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1416496898333
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416496907190
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496912788
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496917185
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416496918791
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496922237
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496922690
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496927258
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496949260
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416496975441
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496981210
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496981382
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1416496987385
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496989958
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496993170
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416496997258
