what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416410652326
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1416410661451
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416410676395
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416410688314
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416410689000
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416410692198
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416410694959
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416410710356
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1416410712478
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.text.contentAssist.proposals,1416410732196
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1416410753209
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1416410770228
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416410773426
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416410774502
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1416410777903
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416410781741
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416410792130
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416410792505
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416410792536
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1416410812504
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1416410913746
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1416410928644
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416410935430
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1416410969703
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416410976988
