what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416946568096
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1416946576914
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416946577697
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416946577827
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1416946601144
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1416946620352
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946621654
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946629569
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1416946629612
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946631651
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946633166
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946634706
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946672645
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416946683619
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1416946689062
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946705125
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946712463
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1416946722110
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1416946722161
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1416946732129
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946733718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416946735085
started,bundle,org.eclipse.mylyn.ide.ant,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ant,1416946735146
started,bundle,org.eclipse.mylyn.java.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.java.ui,1416946735196
started,bundle,org.eclipse.mylyn.pde.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.pde.ui,1416946735246
