what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403156739
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403216191
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403229732
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403259532
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403298110
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416403299514
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416403299592
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1416403300029
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1416403300388
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403302806
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416403304662
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403304693
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1416403304693
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403308624
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403326798
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416403327157
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416403327188
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1416403353255
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1416403492782
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403494747
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1416403496214
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1416403496229
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1416403497587
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1416403634056
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1416403634072
