what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545213002
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545218518
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545240616
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545278383
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545281180
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545289571
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545292275
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1414545293665
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545298494
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545306447
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545308526
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545309604
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545332417
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1414545355575
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545357684
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545361122
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545365794
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545367778
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545386076
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.cut,1414545390201
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1414545392342
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545393358
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545395311
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1414545396749
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414545400389
