what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545403765
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545405921
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545409312
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545409390
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545409390
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545601126
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545603016
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545614252
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545618940
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545622285
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414545624050
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545628254
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545630364
activated,view,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.views.ProblemView,1414545644755
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545653693
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545657475
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545659022
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414545660319
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.copy,1414545669928
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1414545679226
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545681648
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414545683070
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1414545687493
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.saveAll,1414545689790
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1414545693821
