what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsd.core,1.1.300.v200805282012,org.eclipse.wst.xsd.core,1414544252423
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414544252908
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1414544254017
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1414544255002
started,bundle,org.eclipse.ltk.core.refactoring,3.4.0.v20080603-2000,org.eclipse.ltk.core.refactoring,1414544255142
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.0.v20080605-1800,org.eclipse.ltk.ui.refactoring,1414544255173
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1414544255267
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414544269159
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414544274971
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414544279175
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414544315317
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414544316005
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1414544316223
started,bundle,org.eclipse.jdt.debug.ui,3.3.0.v20080603,org.eclipse.jdt.debug.ui,1414544316223
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414544316255
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1414544316317
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1414544316489
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1414544320161
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414544321255
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1414544332462
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1414544335884
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1414544336556
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1414544338493
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1414544338697
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1414544342837
